,respondent_id,h1n1_concern,h1n1_knowledge,behavioral_antiviral_meds,behavioral_avoidance,behavioral_face_mask,behavioral_wash_hands,behavioral_large_gatherings,behavioral_outside_home,behavioral_touch_face,doctor_recc_h1n1,doctor_recc_seasonal,chronic_med_condition,child_under_6_months,health_worker,health_insurance,opinion_h1n1_vacc_effective,opinion_h1n1_risk,opinion_h1n1_sick_from_vacc,opinion_seas_vacc_effective,opinion_seas_risk,opinion_seas_sick_from_vacc,household_adults,household_children,h1n1_vaccine,seasonal_vaccine,Cluster
respondent_id,1.0,0.01891501282938439,0.0036888436606185423,-0.008457742689880175,0.008912430322763877,-0.006654229554191967,0.011211723044649364,0.004454616799575444,0.009180889406864564,0.007606060318481788,-0.0021782327826557644,0.0011310379988727025,0.004753114218504378,-0.004992727725548299,-0.0033719991514825774,-0.009475663712089178,0.0059524231915764865,0.00040322115090775563,0.00018919533458833593,-1.0941368675805722e-05,-0.004794354955780072,0.008966852963126097,0.0004214674670791172,-0.0036521895909453895,-0.003279930688920669,-0.00465197379291998,0.00030490367572532994
h1n1_concern,0.01891501282938439,1.0,0.05644490173071525,0.0905278390231491,0.22663391336733849,0.15700475930304095,0.2890056226583456,0.25833549112562676,0.24974178684579393,0.2457308622385,0.13877162639816268,0.12104994921137581,0.09331526076162847,0.049311845267055385,0.03310817038941556,0.023829772884059918,0.21661597798182114,0.38194338975815184,0.36468052630096925,0.2194390195400481,0.3305076870850703,0.2220160939406797,-0.013686255578884645,0.05283333644274459,0.12228914638097403,0.15407857812773168,-0.11018004387567136
h1n1_knowledge,0.0036888436606185423,0.05644490173071525,1.0,-0.006887147529855121,0.0810249636857192,0.033549412210124585,0.0880953374273483,-0.04384340973911566,-0.0619596886788199,0.08562804413842089,0.09531811953581824,0.07513943379255655,-0.009205286870340538,0.028165433594654857,0.17567522227575036,0.09255336551621318,0.12762016550339295,0.07586870911063127,-0.02641312512837838,0.08443720242635794,0.08044310974592768,-0.07473694183239264,0.03526955884081135,0.05787441096259553,0.12055061756066265,0.12121785914054237,-0.016899234437287667
behavioral_antiviral_meds,-0.008457742689880175,0.0905278390231491,-0.006887147529855121,1.0,0.04853254350827156,0.14577228916788837,0.0639959943970487,0.10631359650010706,0.12720381158627017,0.0699824616825681,0.05088196858949175,0.031681637366183034,0.004637060913376782,0.026182505843145187,0.0071452463340563495,-0.05181024170031052,0.035851296941210316,0.08980024554996292,0.0707045297642282,0.020532025512162728,0.07889930641328548,0.07631650975461109,0.04095351152189375,0.08454269611719833,0.04022573559080512,0.00601287320400893,0.016196985445145504
behavioral_avoidance,0.008912430322763877,0.22663391336733849,0.0810249636857192,0.04853254350827156,1.0,0.064155274965104,0.3349744321138053,0.22540190732511853,0.21759946742878336,0.3297964721202336,0.06558903633700447,0.07076095002056916,0.042053785823732336,0.0009522566435012497,0.002232274821906247,0.025377310525152606,0.10117645949743591,0.12698268942581525,0.14000673159819849,0.11112216269223231,0.13183047673888462,0.0848414753236843,0.024913515417259297,0.04636098215501499,0.04683697331474145,0.07613022488118489,-0.08157303085901303
behavioral_face_mask,-0.006654229554191967,0.15700475930304095,0.033549412210124585,0.14577228916788837,0.064155274965104,1.0,0.0832288494063977,0.18037676227233776,0.16296363732764785,0.10360332017335978,0.0798868336506237,0.06530069365139811,0.062199615317964856,0.03682795053907211,0.06564474972188508,-0.027177300894184145,0.042612719325326474,0.11328609059725507,0.09449653228940351,0.047120175440087606,0.10245402005443276,0.0782092039611697,0.009374619422163763,0.004546322762306527,0.07041273392196763,0.05001973990928328,-0.041231314570122295
behavioral_wash_hands,0.011211723044649364,0.2890056226583456,0.0880953374273483,0.0639959943970487,0.3349744321138053,0.0832288494063977,1.0,0.19474989219165406,0.19180366315582992,0.36297919603445494,0.08639153359415322,0.0993165659724188,0.03020532389135636,0.03574897242734995,0.05293036414501543,0.03233947541067292,0.13001222935257065,0.17606650260857726,0.16193954975506433,0.13708706493993772,0.17375903099823933,0.09430100734699152,0.017254860243229767,0.052231316827457214,0.07456953724774355,0.11225436409011819,-0.1231065584716001
behavioral_large_gatherings,0.004454616799575444,0.25833549112562676,-0.04384340973911566,0.10631359650010706,0.22540190732511853,0.18037676227233776,0.19474989219165406,1.0,0.5808811017594813,0.2513834588991155,0.07714332872966927,0.08731477245858339,0.09962073829775014,0.020073607779860028,-0.03222631964009211,-0.028658106333688285,0.05591237034797339,0.11417831091800228,0.17738197739783973,0.09262235204588312,0.12564954399606992,0.12286873420560393,-0.03542301612600434,-0.010816588719851127,0.01808881201013594,0.06372195069134587,-0.0805549328337908
behavioral_outside_home,0.009180889406864564,0.24974178684579393,-0.0619596886788199,0.12720381158627017,0.21759946742878336,0.16296363732764785,0.19180366315582992,0.5808811017594813,1.0,0.26540137123743174,0.06713575404776484,0.08125215102093043,0.09367488843832791,0.01665739237622063,-0.03512767213209695,-0.031897981403168615,0.05678836667006706,0.11103791082539961,0.16410786179142456,0.08149295826666933,0.1122833865955728,0.12780337431189592,-0.03205152048059612,-0.01137862926726956,0.022079555747214735,0.05328672961895835,-0.06868461974219507
behavioral_touch_face,0.007606060318481788,0.2457308622385,0.08562804413842089,0.0699824616825681,0.3297964721202336,0.10360332017335978,0.36297919603445494,0.2513834588991155,0.26540137123743174,1.0,0.08720068668429921,0.09975338992441066,0.02996569996101227,0.02650648728585941,0.06628390934132175,0.010218730652579427,0.10036793926863959,0.14372860346481178,0.1364193910253062,0.10985534291455648,0.14159715563714834,0.09232955120678082,0.002177394611809015,0.027362225574514495,0.07085509948423385,0.1199254965333267,-0.14254480192277094
doctor_recc_h1n1,-0.0021782327826557644,0.13877162639816268,0.09531811953581824,0.05088196858949175,0.06558903633700447,0.0798868336506237,0.08639153359415322,0.07714332872966927,0.06713575404776484,0.08720068668429921,1.0,0.6031518173593674,0.15201961522539476,0.07830593879189661,0.09823734494303603,0.02590057681485199,0.1676285578374349,0.23046025184575536,0.09313213028403866,0.12365012522067914,0.18919597546652547,0.04038330658455197,0.012568788526172046,0.027524649640933346,0.3940857066504822,0.19855975292665284,-0.03501890687897441
doctor_recc_seasonal,0.0011310379988727025,0.12104994921137581,0.07513943379255655,0.031681637366183034,0.07076095002056916,0.06530069365139811,0.0993165659724188,0.08731477245858339,0.08125215102093043,0.09975338992441066,0.6031518173593674,1.0,0.2031213243955708,0.03874129590218135,0.05877487996936271,0.06481453812773696,0.1281102424448429,0.14879505515354072,0.056894013898221456,0.19901840390508635,0.2248108307176735,0.007966960796332285,-0.028836404829458977,-0.04463678976198824,0.2189756335069723,0.36069588759186333,-0.10185230742101764
chronic_med_condition,0.004753114218504378,0.09331526076162847,-0.009205286870340538,0.004637060913376782,0.042053785823732336,0.062199615317964856,0.03020532389135636,0.09962073829775014,0.09367488843832791,0.02996569996101227,0.15201961522539476,0.2031213243955708,1.0,0.0035329837067477913,-0.01981029417211716,0.03643358428277981,0.04677201607775084,0.1099782289256141,0.0683267876640884,0.11647703690000076,0.15981921416489447,0.032146760861068054,-0.0728298947766243,-0.11037217500329757,0.09436022688543799,0.1694650743235778,-0.10204910974724839
child_under_6_months,-0.004992727725548299,0.049311845267055385,0.028165433594654857,0.026182505843145187,0.0009522566435012497,0.03682795053907211,0.03574897242734995,0.020073607779860028,0.01665739237622063,0.02650648728585941,0.07830593879189661,0.03874129590218135,0.0035329837067477913,1.0,0.0820227834529156,-0.020163017427508187,0.01384985913921075,0.0730540588098518,0.02876979988689351,0.0073496910508362625,0.05035633465570107,0.030005365805546032,0.04461848401095564,0.09928745288462142,0.06671163473885362,0.013423576276536764,0.0015914816758633612
health_worker,-0.0033719991514825774,0.03310817038941556,0.17567522227575036,0.0071452463340563495,0.002232274821906247,0.06564474972188508,0.05293036414501543,-0.03222631964009211,-0.03512767213209695,0.06628390934132175,0.09823734494303603,0.05877487996936271,-0.01981029417211716,0.0820227834529156,1.0,0.031463096954039385,0.06307238779768855,0.11094901962752406,0.004250945019238013,0.03467049932010024,0.08694902329848406,-0.027585596676688726,0.01703970265828581,0.04427391847105421,0.1680559965751277,0.1269773969161401,-0.05353994762812089
health_insurance,-0.009475663712089178,0.023829772884059918,0.09255336551621318,-0.05181024170031052,0.025377310525152606,-0.027177300894184145,0.03233947541067292,-0.028658106333688285,-0.031897981403168615,0.010218730652579427,0.02590057681485199,0.06481453812773696,0.03643358428277981,-0.020163017427508187,0.031463096954039385,1.0,0.01589156438230807,0.02308992076856384,-0.005868542586406713,0.05678834444116264,0.03953434151000619,-0.03835589521666269,-0.04525092660659438,-0.03796016789568917,0.04189106535173098,0.12492926876200526,-0.07418537114476796
opinion_h1n1_vacc_effective,0.0059524231915764865,0.21661597798182114,0.12762016550339295,0.035851296941210316,0.10117645949743591,0.042612719325326474,0.13001222935257065,0.05591237034797339,0.05678836667006706,0.10036793926863959,0.1676285578374349,0.1281102424448429,0.04677201607775084,0.01384985913921075,0.06307238779768855,0.01589156438230807,1.0,0.2576262809146712,0.06237706062350761,0.44175771157747235,0.25712054014804825,0.008569896883156023,0.01766963730221281,-0.0003701722866844624,0.2896011123280398,0.200072794260841,-0.010559029898181646
