feature,importance,abs_importance,target,model
h1n1_concern,300.0,300.0,H1N1,LightGBM
h1n1_knowledge,226.0,226.0,H1N1,LightGBM
behavioral_antiviral_meds,92.0,92.0,H1N1,LightGBM
behavioral_avoidance,47.0,47.0,H1N1,LightGBM
behavioral_face_mask,112.0,112.0,H1N1,LightGBM
behavioral_wash_hands,73.0,73.0,H1N1,LightGBM
behavioral_large_gatherings,138.0,138.0,H1N1,LightGBM
behavioral_outside_home,65.0,65.0,H1N1,LightGBM
behavioral_touch_face,63.0,63.0,H1N1,LightGBM
doctor_recc_h1n1,201.0,201.0,H1N1,LightGBM
doctor_recc_seasonal,269.0,269.0,H1N1,LightGBM
chronic_med_condition,100.0,100.0,H1N1,LightGBM
child_under_6_months,91.0,91.0,H1N1,LightGBM
health_worker,318.0,318.0,H1N1,LightGBM
health_insurance,68.0,68.0,H1N1,LightGBM
opinion_h1n1_vacc_effective,709.0,709.0,H1N1,LightGBM
opinion_h1n1_risk,553.0,553.0,H1N1,LightGBM
opinion_h1n1_sick_from_vacc,397.0,397.0,H1N1,LightGBM
opinion_seas_vacc_effective,375.0,375.0,H1N1,LightGBM
opinion_seas_risk,358.0,358.0,H1N1,LightGBM
opinion_seas_sick_from_vacc,202.0,202.0,H1N1,LightGBM
age_group,149.0,149.0,H1N1,LightGBM
education,234.0,234.0,H1N1,LightGBM
race,100.0,100.0,H1N1,LightGBM
sex,41.0,41.0,H1N1,LightGBM
income_poverty,68.0,68.0,H1N1,LightGBM
marital_status,126.0,126.0,H1N1,LightGBM
rent_or_own,175.0,175.0,H1N1,LightGBM
employment_status,33.0,33.0,H1N1,LightGBM
hhs_geo_region,69.0,69.0,H1N1,LightGBM
census_msa,147.0,147.0,H1N1,LightGBM
household_adults,43.0,43.0,H1N1,LightGBM
household_children,104.0,104.0,H1N1,LightGBM
employment_industry,57.0,57.0,H1N1,LightGBM
employment_occupation,27.0,27.0,H1N1,LightGBM
h1n1_concern,0.005344999022781849,0.005344999022781849,Seasonal,XGBoost
h1n1_knowledge,0.011278921738266945,0.011278921738266945,Seasonal,XGBoost
behavioral_antiviral_meds,0.00560346432030201,0.00560346432030201,Seasonal,XGBoost
behavioral_avoidance,0.003433701815083623,0.003433701815083623,Seasonal,XGBoost
behavioral_face_mask,0.00601184694096446,0.00601184694096446,Seasonal,XGBoost
behavioral_wash_hands,0.005134922917932272,0.005134922917932272,Seasonal,XGBoost
behavioral_large_gatherings,0.0038643416482955217,0.0038643416482955217,Seasonal,XGBoost
behavioral_outside_home,0.003934749402105808,0.003934749402105808,Seasonal,XGBoost
behavioral_touch_face,0.009013361297547817,0.009013361297547817,Seasonal,XGBoost
doctor_recc_h1n1,0.013520896434783936,0.013520896434783936,Seasonal,XGBoost
doctor_recc_seasonal,0.11226769536733627,0.11226769536733627,Seasonal,XGBoost
chronic_med_condition,0.008685719221830368,0.008685719221830368,Seasonal,XGBoost
child_under_6_months,0.004499383270740509,0.004499383270740509,Seasonal,XGBoost
health_worker,0.024876682087779045,0.024876682087779045,Seasonal,XGBoost
health_insurance,0.018945438787341118,0.018945438787341118,Seasonal,XGBoost
opinion_h1n1_vacc_effective,0.006351951509714127,0.006351951509714127,Seasonal,XGBoost
opinion_h1n1_risk,0.007144232280552387,0.007144232280552387,Seasonal,XGBoost
opinion_h1n1_sick_from_vacc,0.005678827408701181,0.005678827408701181,Seasonal,XGBoost
opinion_seas_vacc_effective,0.09848406910896301,0.09848406910896301,Seasonal,XGBoost
opinion_seas_risk,0.06577949225902557,0.06577949225902557,Seasonal,XGBoost
opinion_seas_sick_from_vacc,0.014742248691618443,0.014742248691618443,Seasonal,XGBoost
age_group,0.004317838232964277,0.004317838232964277,Seasonal,XGBoost
education,0.008553458377718925,0.008553458377718925,Seasonal,XGBoost
race,0.03518325462937355,0.03518325462937355,Seasonal,XGBoost
sex,0.007976780645549297,0.007976780645549297,Seasonal,XGBoost
income_poverty,0.004224836360663176,0.004224836360663176,Seasonal,XGBoost
marital_status,0.010736781172454357,0.010736781172454357,Seasonal,XGBoost
rent_or_own,0.039760854095220566,0.039760854095220566,Seasonal,XGBoost
employment_status,0.0039500826969742775,0.0039500826969742775,Seasonal,XGBoost
hhs_geo_region,0.008336588740348816,0.008336588740348816,Seasonal,XGBoost
census_msa,0.012170817703008652,0.012170817703008652,Seasonal,XGBoost
household_adults,0.004315558820962906,0.004315558820962906,Seasonal,XGBoost
household_children,0.007560723926872015,0.007560723926872015,Seasonal,XGBoost
employment_industry,0.010091505944728851,0.010091505944728851,Seasonal,XGBoost
employment_occupation,0.005749230273067951,0.005749230273067951,Seasonal,XGBoost
